City,latitude,longitude
New York City,40.7128,-74.006
Los Angeles,34.0522,-118.2437
Chicago,41.8781,-87.6298
Houston,29.7604,-95.3698
Phoenix,33.4484,-112.074
Philadelphia,39.9526,-75.1652
San Antonio,29.4241,-98.4936
San Diego,32.7157,-117.1611
Dallas,32.7767,-96.797
San Jose,37.3382,-121.8863
Austin,30.2672,-97.7431
Jacksonville,30.3322,-81.6557
Fort Worth,32.7555,-97.3308
Columbus,39.9612,-82.9988
San Francisco,37.7749,-122.4194
Charlotte,35.2271,-80.8431
Indianapolis,39.7684,-86.1581
Seattle,47.6062,-122.3321
Denver,39.7392,-104.9903
Washington  D.C.,38.9072,-77.0369
